epoch,miou,iou_class_0,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,iou_class_6,iou_class_7,iou_class_8,iou_class_9
1,0.03286669054650702,0.10204236954450607,0.01585640199482441,0.006189874839037657,0.0,0.09180135279893875,0.00029746844666078687,0.0016298897098749876,0.01951322890818119,0.06945137679576874,0.021884942427277565
2,0.3912137784063816,0.7346648573875427,0.36616063117980957,0.4751127362251282,0.04663645476102829,0.18965789675712585,0.40994536876678467,0.21668362617492676,0.12076245248317719,0.419285386800766,0.9332283735275269
3,0.5899643719196319,0.7914717197418213,0.6446083188056946,0.6527800559997559,0.4340890645980835,0.30325451493263245,0.5805982947349548,0.4824730157852173,0.4225254952907562,0.61226886510849,0.9755743741989136
